Anchor,Positive,Negative
dataset\taming_transformer\tt-cc_spectrum\472\img020762.jpg,dataset\big_gan\big\biggan-spectrum\733\img007050.jpg,dataset\coco\coco\coco2017\train_spectrum\img070273.jpg
dataset\latent_diffusion\latentdiff_spectrum\434\img003735.jpg,dataset\latent_diffusion\latentdiff_spectrum\839\img008223.jpg,dataset\coco\coco\coco2017\train_spectrum\img047522.jpg
dataset\latent_diffusion\latentdiff_spectrum\274\img001953.jpg,dataset\big_gan\big\biggan-spectrum\453\img003949.jpg,dataset\coco\coco\coco2017\train_spectrum\img102424.jpg
dataset\taming_transformer\tt-cc_spectrum\734\img035329.jpg,dataset\taming_transformer\tt-cc_spectrum\98\img048911.jpg,dataset\coco\coco\coco2017\train_spectrum\img095873.jpg
dataset\taming_transformer\tt-cc_spectrum\972\img048530.jpg,dataset\latent_diffusion\latentdiff_spectrum\474\img004172.jpg,dataset\coco\coco\coco2017\train_spectrum\img086519.jpg
dataset\taming_transformer\tt-cc_spectrum\140\img002380.jpg,dataset\big_gan\big\biggan-spectrum\669\img006330.jpg,dataset\coco\coco\coco2017\train_spectrum\img156438.jpg
dataset\taming_transformer\tt-cc_spectrum\394\img016419.jpg,dataset\taming_transformer\tt-cc_spectrum\230\img007388.jpg,dataset\coco\coco\coco2017\train_spectrum\img051980.jpg
dataset\taming_transformer\tt-cc_spectrum\833\img040819.jpg,dataset\taming_transformer\tt-cc_spectrum\982\img049079.jpg,dataset\coco\coco\coco2017\train_spectrum\img067872.jpg
dataset\latent_diffusion\latentdiff_spectrum\895\img008840.jpg,dataset\latent_diffusion\latentdiff_spectrum\3\img002238.jpg,dataset\coco\coco\coco2017\train_spectrum\img110335.jpg
dataset\taming_transformer\tt-cc_spectrum\574\img026436.jpg,dataset\taming_transformer\tt-cc_spectrum\113\img000886.jpg,dataset\coco\coco\coco2017\train_spectrum\img061781.jpg
dataset\big_gan\big\biggan-spectrum\379\img003111.jpg,dataset\big_gan\big\biggan-spectrum\625\img005855.jpg,dataset\coco\coco\coco2017\train_spectrum\img105344.jpg
dataset\big_gan\big\biggan-spectrum\31\img002351.jpg,dataset\latent_diffusion\latentdiff_spectrum\949\img009448.jpg,dataset\coco\coco\coco2017\train_spectrum\img145839.jpg
dataset\latent_diffusion\latentdiff_spectrum\808\img007884.jpg,dataset\taming_transformer\tt-cc_spectrum\866\img042626.jpg,dataset\coco\coco\coco2017\train_spectrum\img069410.jpg
dataset\taming_transformer\tt-cc_spectrum\488\img021634.jpg,dataset\taming_transformer\tt-cc_spectrum\173\img004175.jpg,dataset\coco\coco\coco2017\train_spectrum\img079315.jpg
dataset\taming_transformer\tt-cc_spectrum\692\img032988.jpg,dataset\taming_transformer\tt-cc_spectrum\284\img010335.jpg,dataset\coco\coco\coco2017\train_spectrum\img142382.jpg
dataset\big_gan\big\biggan-spectrum\885\img008735.jpg,dataset\latent_diffusion\latentdiff_spectrum\671\img006369.jpg,dataset\coco\coco\coco2017\train_spectrum\img067258.jpg
dataset\latent_diffusion\latentdiff_spectrum\369\img003001.jpg,dataset\big_gan\big\biggan-spectrum\384\img003179.jpg,dataset\coco\coco\coco2017\train_spectrum\img069602.jpg
dataset\latent_diffusion\latentdiff_spectrum\254\img001730.jpg,dataset\taming_transformer\tt-cc_spectrum\418\img017753.jpg,dataset\coco\coco\coco2017\train_spectrum\img052812.jpg
dataset\latent_diffusion\latentdiff_spectrum\967\img009641.jpg,dataset\latent_diffusion\latentdiff_spectrum\267\img001870.jpg,dataset\coco\coco\coco2017\train_spectrum\img070248.jpg
dataset\big_gan\big\biggan-spectrum\531\img004810.jpg,dataset\latent_diffusion\latentdiff_spectrum\237\img001540.jpg,dataset\coco\coco\coco2017\train_spectrum\img063120.jpg
dataset\big_gan\big\biggan-spectrum\151\img000590.jpg,dataset\latent_diffusion\latentdiff_spectrum\969\img009668.jpg,dataset\coco\coco\coco2017\train_spectrum\img099244.jpg
dataset\taming_transformer\tt-cc_spectrum\676\img032089.jpg,dataset\latent_diffusion\latentdiff_spectrum\156\img000644.jpg,dataset\coco\coco\coco2017\train_spectrum\img053582.jpg
dataset\taming_transformer\tt-cc_spectrum\656\img030996.jpg,dataset\big_gan\big\biggan-spectrum\264\img001844.jpg,dataset\coco\coco\coco2017\train_spectrum\img053146.jpg
dataset\taming_transformer\tt-cc_spectrum\390\img016223.jpg,dataset\big_gan\big\biggan-spectrum\180\img000910.jpg,dataset\coco\coco\coco2017\train_spectrum\img056240.jpg
dataset\latent_diffusion\latentdiff_spectrum\945\img009409.jpg,dataset\big_gan\big\biggan-spectrum\968\img009650.jpg,dataset\coco\coco\coco2017\train_spectrum\img094526.jpg
dataset\big_gan\big\biggan-spectrum\848\img008326.jpg,dataset\latent_diffusion\latentdiff_spectrum\170\img000803.jpg,dataset\coco\coco\coco2017\train_spectrum\img137773.jpg
dataset\taming_transformer\tt-cc_spectrum\830\img040687.jpg,dataset\latent_diffusion\latentdiff_spectrum\20\img001136.jpg,dataset\coco\coco\coco2017\train_spectrum\img130591.jpg
dataset\big_gan\big\biggan-spectrum\37\img003013.jpg,dataset\big_gan\big\biggan-spectrum\557\img005096.jpg,dataset\coco\coco\coco2017\train_spectrum\img141293.jpg
dataset\taming_transformer\tt-cc_spectrum\187\img004923.jpg,dataset\taming_transformer\tt-cc_spectrum\130\img001800.jpg,dataset\coco\coco\coco2017\train_spectrum\img155512.jpg
dataset\latent_diffusion\latentdiff_spectrum\949\img009440.jpg,dataset\big_gan\big\biggan-spectrum\79\img007677.jpg,dataset\coco\coco\coco2017\train_spectrum\img048871.jpg
dataset\latent_diffusion\latentdiff_spectrum\986\img009858.jpg,dataset\latent_diffusion\latentdiff_spectrum\405\img003412.jpg,dataset\coco\coco\coco2017\train_spectrum\img056732.jpg
dataset\taming_transformer\tt-cc_spectrum\517\img023285.jpg,dataset\latent_diffusion\latentdiff_spectrum\867\img008534.jpg,dataset\coco\coco\coco2017\train_spectrum\img134625.jpg
dataset\big_gan\big\biggan-spectrum\8\img007787.jpg,dataset\taming_transformer\tt-cc_spectrum\130\img001813.jpg,dataset\coco\coco\coco2017\train_spectrum\img089492.jpg
dataset\latent_diffusion\latentdiff_spectrum\570\img005245.jpg,dataset\latent_diffusion\latentdiff_spectrum\161\img000707.jpg,dataset\coco\coco\coco2017\train_spectrum\img118866.jpg
dataset\taming_transformer\tt-cc_spectrum\327\img012749.jpg,dataset\big_gan\big\biggan-spectrum\643\img006054.jpg,dataset\coco\coco\coco2017\train_spectrum\img067821.jpg
dataset\taming_transformer\tt-cc_spectrum\545\img024823.jpg,dataset\taming_transformer\tt-cc_spectrum\633\img029712.jpg,dataset\coco\coco\coco2017\train_spectrum\img138317.jpg
dataset\big_gan\big\biggan-spectrum\181\img000920.jpg,dataset\taming_transformer\tt-cc_spectrum\791\img038475.jpg,dataset\coco\coco\coco2017\train_spectrum\img116129.jpg
dataset\latent_diffusion\latentdiff_spectrum\151\img000591.jpg,dataset\latent_diffusion\latentdiff_spectrum\836\img008193.jpg,dataset\coco\coco\coco2017\train_spectrum\img157124.jpg
dataset\taming_transformer\tt-cc_spectrum\455\img019845.jpg,dataset\big_gan\big\biggan-spectrum\29\img002122.jpg,dataset\coco\coco\coco2017\train_spectrum\img043111.jpg
dataset\latent_diffusion\latentdiff_spectrum\417\img003542.jpg,dataset\big_gan\big\biggan-spectrum\963\img009607.jpg,dataset\coco\coco\coco2017\train_spectrum\img088857.jpg
dataset\big_gan\big\biggan-spectrum\961\img009589.jpg,dataset\taming_transformer\tt-cc_spectrum\372\img015246.jpg,dataset\coco\coco\coco2017\train_spectrum\img138709.jpg
dataset\big_gan\big\biggan-spectrum\666\img006302.jpg,dataset\latent_diffusion\latentdiff_spectrum\502\img004493.jpg,dataset\coco\coco\coco2017\train_spectrum\img156142.jpg
dataset\latent_diffusion\latentdiff_spectrum\497\img004429.jpg,dataset\latent_diffusion\latentdiff_spectrum\708\img006774.jpg,dataset\coco\coco\coco2017\train_spectrum\img049410.jpg
dataset\latent_diffusion\latentdiff_spectrum\360\img002918.jpg,dataset\big_gan\big\biggan-spectrum\513\img004616.jpg,dataset\coco\coco\coco2017\train_spectrum\img105500.jpg
dataset\big_gan\big\biggan-spectrum\228\img001442.jpg,dataset\latent_diffusion\latentdiff_spectrum\83\img008128.jpg,dataset\coco\coco\coco2017\train_spectrum\img138593.jpg
dataset\big_gan\big\biggan-spectrum\288\img002102.jpg,dataset\latent_diffusion\latentdiff_spectrum\658\img006211.jpg,dataset\coco\coco\coco2017\train_spectrum\img065475.jpg
dataset\big_gan\big\biggan-spectrum\569\img005229.jpg,dataset\big_gan\big\biggan-spectrum\703\img006729.jpg,dataset\coco\coco\coco2017\train_spectrum\img153511.jpg
dataset\taming_transformer\tt-cc_spectrum\396\img016504.jpg,dataset\taming_transformer\tt-cc_spectrum\43\img018426.jpg,dataset\coco\coco\coco2017\train_spectrum\img119557.jpg
dataset\big_gan\big\biggan-spectrum\285\img002074.jpg,dataset\latent_diffusion\latentdiff_spectrum\293\img002162.jpg,dataset\coco\coco\coco2017\train_spectrum\img146952.jpg
dataset\big_gan\big\biggan-spectrum\975\img009734.jpg,dataset\big_gan\big\biggan-spectrum\449\img003897.jpg,dataset\coco\coco\coco2017\train_spectrum\img061427.jpg
dataset\taming_transformer\tt-cc_spectrum\948\img047170.jpg,dataset\taming_transformer\tt-cc_spectrum\453\img019710.jpg,dataset\coco\coco\coco2017\train_spectrum\img122204.jpg
dataset\big_gan\big\biggan-spectrum\28\img002018.jpg,dataset\latent_diffusion\latentdiff_spectrum\250\img001691.jpg,dataset\coco\coco\coco2017\train_spectrum\img111470.jpg
dataset\big_gan\big\biggan-spectrum\786\img007633.jpg,dataset\big_gan\big\biggan-spectrum\712\img006828.jpg,dataset\coco\coco\coco2017\train_spectrum\img072339.jpg
dataset\big_gan\big\biggan-spectrum\315\img002410.jpg,dataset\latent_diffusion\latentdiff_spectrum\406\img003422.jpg,dataset\coco\coco\coco2017\train_spectrum\img048217.jpg
dataset\taming_transformer\tt-cc_spectrum\905\img044805.jpg,dataset\latent_diffusion\latentdiff_spectrum\852\img008375.jpg,dataset\coco\coco\coco2017\train_spectrum\img089534.jpg
dataset\latent_diffusion\latentdiff_spectrum\0\img000000.jpg,dataset\big_gan\big\biggan-spectrum\4\img003342.jpg,dataset\coco\coco\coco2017\train_spectrum\img075901.jpg
dataset\taming_transformer\tt-cc_spectrum\35\img013967.jpg,dataset\taming_transformer\tt-cc_spectrum\354\img014231.jpg,dataset\coco\coco\coco2017\train_spectrum\img076369.jpg
dataset\latent_diffusion\latentdiff_spectrum\707\img006766.jpg,dataset\taming_transformer\tt-cc_spectrum\133\img001994.jpg,dataset\coco\coco\coco2017\train_spectrum\img112342.jpg
dataset\big_gan\big\biggan-spectrum\303\img002282.jpg,dataset\latent_diffusion\latentdiff_spectrum\171\img000819.jpg,dataset\coco\coco\coco2017\train_spectrum\img142168.jpg
dataset\taming_transformer\tt-cc_spectrum\68\img032294.jpg,dataset\big_gan\big\biggan-spectrum\554\img005064.jpg,dataset\coco\coco\coco2017\train_spectrum\img116780.jpg
dataset\taming_transformer\tt-cc_spectrum\676\img032095.jpg,dataset\latent_diffusion\latentdiff_spectrum\395\img003295.jpg,dataset\coco\coco\coco2017\train_spectrum\img146596.jpg
dataset\big_gan\big\biggan-spectrum\849\img008336.jpg,dataset\latent_diffusion\latentdiff_spectrum\193\img001053.jpg,dataset\coco\coco\coco2017\train_spectrum\img148898.jpg
dataset\big_gan\big\biggan-spectrum\632\img005931.jpg,dataset\big_gan\big\biggan-spectrum\670\img006355.jpg,dataset\coco\coco\coco2017\train_spectrum\img076975.jpg
dataset\taming_transformer\tt-cc_spectrum\191\img005183.jpg,dataset\latent_diffusion\latentdiff_spectrum\954\img009500.jpg,dataset\coco\coco\coco2017\train_spectrum\img069142.jpg
dataset\latent_diffusion\latentdiff_spectrum\358\img002880.jpg,dataset\big_gan\big\biggan-spectrum\501\img004489.jpg,dataset\coco\coco\coco2017\train_spectrum\img095049.jpg
dataset\taming_transformer\tt-cc_spectrum\962\img047970.jpg,dataset\taming_transformer\tt-cc_spectrum\149\img002813.jpg,dataset\coco\coco\coco2017\train_spectrum\img091615.jpg
dataset\taming_transformer\tt-cc_spectrum\106\img000490.jpg,dataset\latent_diffusion\latentdiff_spectrum\744\img007175.jpg,dataset\coco\coco\coco2017\train_spectrum\img157725.jpg
dataset\taming_transformer\tt-cc_spectrum\305\img011537.jpg,dataset\taming_transformer\tt-cc_spectrum\471\img020713.jpg,dataset\coco\coco\coco2017\train_spectrum\img089701.jpg
dataset\taming_transformer\tt-cc_spectrum\798\img038817.jpg,dataset\latent_diffusion\latentdiff_spectrum\331\img002595.jpg,dataset\coco\coco\coco2017\train_spectrum\img055162.jpg
dataset\latent_diffusion\latentdiff_spectrum\288\img002102.jpg,dataset\big_gan\big\biggan-spectrum\282\img002040.jpg,dataset\coco\coco\coco2017\train_spectrum\img153684.jpg
dataset\big_gan\big\biggan-spectrum\363\img002946.jpg,dataset\taming_transformer\tt-cc_spectrum\183\img004706.jpg,dataset\coco\coco\coco2017\train_spectrum\img055650.jpg
dataset\big_gan\big\biggan-spectrum\362\img002933.jpg,dataset\taming_transformer\tt-cc_spectrum\92\img045606.jpg,dataset\coco\coco\coco2017\train_spectrum\img050981.jpg
dataset\big_gan\big\biggan-spectrum\90\img008908.jpg,dataset\taming_transformer\tt-cc_spectrum\595\img027598.jpg,dataset\coco\coco\coco2017\train_spectrum\img130311.jpg
dataset\big_gan\big\biggan-spectrum\850\img008355.jpg,dataset\latent_diffusion\latentdiff_spectrum\102\img000052.jpg,dataset\coco\coco\coco2017\train_spectrum\img110104.jpg
dataset\taming_transformer\tt-cc_spectrum\212\img006355.jpg,dataset\latent_diffusion\latentdiff_spectrum\102\img000056.jpg,dataset\coco\coco\coco2017\train_spectrum\img096121.jpg
dataset\taming_transformer\tt-cc_spectrum\434\img018662.jpg,dataset\big_gan\big\biggan-spectrum\748\img007219.jpg,dataset\coco\coco\coco2017\train_spectrum\img105099.jpg
dataset\latent_diffusion\latentdiff_spectrum\480\img004241.jpg,dataset\big_gan\big\biggan-spectrum\394\img003285.jpg,dataset\coco\coco\coco2017\train_spectrum\img122550.jpg
dataset\latent_diffusion\latentdiff_spectrum\225\img001415.jpg,dataset\latent_diffusion\latentdiff_spectrum\548\img004994.jpg,dataset\coco\coco\coco2017\train_spectrum\img047061.jpg
dataset\latent_diffusion\latentdiff_spectrum\584\img005394.jpg,dataset\big_gan\big\biggan-spectrum\397\img003317.jpg,dataset\coco\coco\coco2017\train_spectrum\img049527.jpg
dataset\taming_transformer\tt-cc_spectrum\407\img017168.jpg,dataset\big_gan\big\biggan-spectrum\162\img000719.jpg,dataset\coco\coco\coco2017\train_spectrum\img054418.jpg
dataset\taming_transformer\tt-cc_spectrum\8\img038912.jpg,dataset\big_gan\big\biggan-spectrum\577\img005319.jpg,dataset\coco\coco\coco2017\train_spectrum\img118508.jpg
dataset\taming_transformer\tt-cc_spectrum\118\img001143.jpg,dataset\big_gan\big\biggan-spectrum\694\img006611.jpg,dataset\coco\coco\coco2017\train_spectrum\img157919.jpg
dataset\taming_transformer\tt-cc_spectrum\775\img037573.jpg,dataset\taming_transformer\tt-cc_spectrum\974\img048601.jpg,dataset\coco\coco\coco2017\train_spectrum\img136985.jpg
dataset\taming_transformer\tt-cc_spectrum\496\img022057.jpg,dataset\latent_diffusion\latentdiff_spectrum\54\img004905.jpg,dataset\coco\coco\coco2017\train_spectrum\img090621.jpg
dataset\big_gan\big\biggan-spectrum\348\img002775.jpg,dataset\taming_transformer\tt-cc_spectrum\228\img007244.jpg,dataset\coco\coco\coco2017\train_spectrum\img124717.jpg
dataset\latent_diffusion\latentdiff_spectrum\354\img002842.jpg,dataset\taming_transformer\tt-cc_spectrum\517\img023269.jpg,dataset\coco\coco\coco2017\train_spectrum\img142281.jpg
dataset\big_gan\big\biggan-spectrum\135\img000414.jpg,dataset\taming_transformer\tt-cc_spectrum\535\img024281.jpg,dataset\coco\coco\coco2017\train_spectrum\img127583.jpg
dataset\taming_transformer\tt-cc_spectrum\618\img028870.jpg,dataset\latent_diffusion\latentdiff_spectrum\25\img001684.jpg,dataset\coco\coco\coco2017\train_spectrum\img128165.jpg
dataset\taming_transformer\tt-cc_spectrum\311\img011897.jpg,dataset\latent_diffusion\latentdiff_spectrum\358\img002883.jpg,dataset\coco\coco\coco2017\train_spectrum\img146161.jpg
dataset\taming_transformer\tt-cc_spectrum\463\img020273.jpg,dataset\taming_transformer\tt-cc_spectrum\328\img012783.jpg,dataset\coco\coco\coco2017\train_spectrum\img071378.jpg
dataset\taming_transformer\tt-cc_spectrum\825\img040378.jpg,dataset\latent_diffusion\latentdiff_spectrum\226\img001424.jpg,dataset\coco\coco\coco2017\train_spectrum\img151437.jpg
dataset\taming_transformer\tt-cc_spectrum\35\img013963.jpg,dataset\big_gan\big\biggan-spectrum\770\img007460.jpg,dataset\coco\coco\coco2017\train_spectrum\img053684.jpg
dataset\taming_transformer\tt-cc_spectrum\195\img005397.jpg,dataset\latent_diffusion\latentdiff_spectrum\825\img008071.jpg,dataset\coco\coco\coco2017\train_spectrum\img102366.jpg
dataset\big_gan\big\biggan-spectrum\703\img006724.jpg,dataset\big_gan\big\biggan-spectrum\574\img005282.jpg,dataset\coco\coco\coco2017\train_spectrum\img088002.jpg
dataset\taming_transformer\tt-cc_spectrum\629\img029482.jpg,dataset\taming_transformer\tt-cc_spectrum\631\img029615.jpg,dataset\coco\coco\coco2017\train_spectrum\img045426.jpg
dataset\big_gan\big\biggan-spectrum\840\img008248.jpg,dataset\big_gan\big\biggan-spectrum\868\img008543.jpg,dataset\coco\coco\coco2017\train_spectrum\img069554.jpg
dataset\latent_diffusion\latentdiff_spectrum\84\img008235.jpg,dataset\taming_transformer\tt-cc_spectrum\719\img034479.jpg,dataset\coco\coco\coco2017\train_spectrum\img127884.jpg
dataset\big_gan\big\biggan-spectrum\659\img006226.jpg,dataset\taming_transformer\tt-cc_spectrum\858\img042166.jpg,dataset\coco\coco\coco2017\train_spectrum\img110996.jpg
dataset\latent_diffusion\latentdiff_spectrum\37\img003017.jpg,dataset\latent_diffusion\latentdiff_spectrum\293\img002165.jpg,dataset\coco\coco\coco2017\train_spectrum\img113746.jpg
dataset\taming_transformer\tt-cc_spectrum\714\img034242.jpg,dataset\taming_transformer\tt-cc_spectrum\332\img013002.jpg,dataset\coco\coco\coco2017\train_spectrum\img071725.jpg
dataset\latent_diffusion\latentdiff_spectrum\380\img003138.jpg,dataset\taming_transformer\tt-cc_spectrum\84\img041197.jpg,dataset\coco\coco\coco2017\train_spectrum\img087730.jpg
dataset\taming_transformer\tt-cc_spectrum\596\img027630.jpg,dataset\big_gan\big\biggan-spectrum\152\img000604.jpg,dataset\coco\coco\coco2017\train_spectrum\img112047.jpg
dataset\taming_transformer\tt-cc_spectrum\505\img022648.jpg,dataset\latent_diffusion\latentdiff_spectrum\478\img004219.jpg,dataset\coco\coco\coco2017\train_spectrum\img156972.jpg
dataset\latent_diffusion\latentdiff_spectrum\74\img007124.jpg,dataset\latent_diffusion\latentdiff_spectrum\862\img008486.jpg,dataset\coco\coco\coco2017\train_spectrum\img084649.jpg
dataset\latent_diffusion\latentdiff_spectrum\600\img005580.jpg,dataset\latent_diffusion\latentdiff_spectrum\17\img000796.jpg,dataset\coco\coco\coco2017\train_spectrum\img092943.jpg
dataset\taming_transformer\tt-cc_spectrum\951\img047383.jpg,dataset\latent_diffusion\latentdiff_spectrum\691\img006581.jpg,dataset\coco\coco\coco2017\train_spectrum\img145491.jpg
dataset\latent_diffusion\latentdiff_spectrum\861\img008474.jpg,dataset\taming_transformer\tt-cc_spectrum\501\img022424.jpg,dataset\coco\coco\coco2017\train_spectrum\img091358.jpg
dataset\latent_diffusion\latentdiff_spectrum\749\img007220.jpg,dataset\latent_diffusion\latentdiff_spectrum\139\img000458.jpg,dataset\coco\coco\coco2017\train_spectrum\img152269.jpg
dataset\latent_diffusion\latentdiff_spectrum\611\img005707.jpg,dataset\taming_transformer\tt-cc_spectrum\792\img038535.jpg,dataset\coco\coco\coco2017\train_spectrum\img064835.jpg
dataset\taming_transformer\tt-cc_spectrum\510\img022943.jpg,dataset\latent_diffusion\latentdiff_spectrum\760\img007350.jpg,dataset\coco\coco\coco2017\train_spectrum\img054306.jpg
dataset\taming_transformer\tt-cc_spectrum\667\img031552.jpg,dataset\taming_transformer\tt-cc_spectrum\513\img023056.jpg,dataset\coco\coco\coco2017\train_spectrum\img063456.jpg
dataset\latent_diffusion\latentdiff_spectrum\981\img009806.jpg,dataset\latent_diffusion\latentdiff_spectrum\304\img002294.jpg,dataset\coco\coco\coco2017\train_spectrum\img080318.jpg
dataset\taming_transformer\tt-cc_spectrum\907\img044910.jpg,dataset\latent_diffusion\latentdiff_spectrum\946\img009413.jpg,dataset\coco\coco\coco2017\train_spectrum\img067173.jpg
dataset\big_gan\big\biggan-spectrum\639\img006007.jpg,dataset\latent_diffusion\latentdiff_spectrum\747\img007209.jpg,dataset\coco\coco\coco2017\train_spectrum\img051805.jpg
dataset\latent_diffusion\latentdiff_spectrum\117\img000219.jpg,dataset\taming_transformer\tt-cc_spectrum\837\img041001.jpg,dataset\coco\coco\coco2017\train_spectrum\img102737.jpg
dataset\taming_transformer\tt-cc_spectrum\339\img013379.jpg,dataset\big_gan\big\biggan-spectrum\524\img004734.jpg,dataset\coco\coco\coco2017\train_spectrum\img127961.jpg
