Anchor,Positive,Negative
dataset\big_gan\big\biggan-spectrum\173\img000834.jpg,dataset\big_gan\big\biggan-spectrum\129\img000349.jpg,dataset\coco\coco\coco2017\train_spectrum\img066018.jpg
dataset\coco\coco\coco2017\train_spectrum\img158420.jpg,dataset\coco\coco\coco2017\train_spectrum\img108010.jpg,dataset\big_gan\big\biggan-spectrum\374\img003064.jpg
dataset\big_gan\big\biggan-spectrum\858\img008430.jpg,dataset\big_gan\big\biggan-spectrum\111\img000158.jpg,dataset\coco\coco\coco2017\train_spectrum\img062952.jpg
dataset\big_gan\big\biggan-spectrum\410\img003477.jpg,dataset\big_gan\big\biggan-spectrum\145\img000528.jpg,dataset\coco\coco\coco2017\train_spectrum\img089110.jpg
dataset\coco\coco\coco2017\train_spectrum\img118569.jpg,dataset\coco\coco\coco2017\train_spectrum\img141601.jpg,dataset\big_gan\big\biggan-spectrum\648\img006109.jpg
dataset\coco\coco\coco2017\train_spectrum\img061979.jpg,dataset\coco\coco\coco2017\train_spectrum\img098489.jpg,dataset\big_gan\big\biggan-spectrum\541\img004925.jpg
dataset\coco\coco\coco2017\train_spectrum\img080021.jpg,dataset\coco\coco\coco2017\train_spectrum\img126733.jpg,dataset\big_gan\big\biggan-spectrum\63\img005902.jpg
dataset\big_gan\big\biggan-spectrum\895\img008848.jpg,dataset\big_gan\big\biggan-spectrum\68\img006453.jpg,dataset\coco\coco\coco2017\train_spectrum\img081508.jpg
dataset\big_gan\big\biggan-spectrum\802\img007825.jpg,dataset\big_gan\big\biggan-spectrum\676\img006411.jpg,dataset\coco\coco\coco2017\train_spectrum\img150556.jpg
dataset\big_gan\big\biggan-spectrum\749\img007222.jpg,dataset\big_gan\big\biggan-spectrum\747\img007200.jpg,dataset\coco\coco\coco2017\train_spectrum\img146337.jpg
dataset\coco\coco\coco2017\train_spectrum\img125431.jpg,dataset\coco\coco\coco2017\train_spectrum\img143296.jpg,dataset\big_gan\big\biggan-spectrum\776\img007525.jpg
dataset\coco\coco\coco2017\train_spectrum\img135437.jpg,dataset\coco\coco\coco2017\train_spectrum\img085475.jpg,dataset\big_gan\big\biggan-spectrum\422\img003608.jpg
dataset\coco\coco\coco2017\train_spectrum\img083163.jpg,dataset\coco\coco\coco2017\train_spectrum\img085977.jpg,dataset\big_gan\big\biggan-spectrum\431\img003700.jpg
dataset\coco\coco\coco2017\train_spectrum\img050289.jpg,dataset\coco\coco\coco2017\train_spectrum\img094490.jpg,dataset\big_gan\big\biggan-spectrum\550\img005028.jpg
dataset\coco\coco\coco2017\train_spectrum\img132022.jpg,dataset\coco\coco\coco2017\train_spectrum\img114810.jpg,dataset\big_gan\big\biggan-spectrum\772\img007487.jpg
dataset\big_gan\big\biggan-spectrum\314\img002404.jpg,dataset\big_gan\big\biggan-spectrum\596\img005520.jpg,dataset\coco\coco\coco2017\train_spectrum\img141426.jpg
dataset\big_gan\big\biggan-spectrum\429\img003676.jpg,dataset\big_gan\big\biggan-spectrum\128\img000333.jpg,dataset\coco\coco\coco2017\train_spectrum\img135696.jpg
dataset\coco\coco\coco2017\train_spectrum\img090301.jpg,dataset\coco\coco\coco2017\train_spectrum\img072098.jpg,dataset\big_gan\big\biggan-spectrum\709\img006789.jpg
dataset\coco\coco\coco2017\train_spectrum\img156746.jpg,dataset\coco\coco\coco2017\train_spectrum\img106117.jpg,dataset\big_gan\big\biggan-spectrum\362\img002935.jpg
dataset\big_gan\big\biggan-spectrum\72\img006904.jpg,dataset\big_gan\big\biggan-spectrum\80\img007799.jpg,dataset\coco\coco\coco2017\train_spectrum\img114295.jpg
dataset\coco\coco\coco2017\train_spectrum\img135660.jpg,dataset\coco\coco\coco2017\train_spectrum\img114768.jpg,dataset\big_gan\big\biggan-spectrum\494\img004397.jpg
dataset\coco\coco\coco2017\train_spectrum\img092076.jpg,dataset\coco\coco\coco2017\train_spectrum\img132750.jpg,dataset\big_gan\big\biggan-spectrum\604\img005626.jpg
dataset\coco\coco\coco2017\train_spectrum\img139793.jpg,dataset\coco\coco\coco2017\train_spectrum\img136635.jpg,dataset\big_gan\big\biggan-spectrum\140\img000474.jpg
dataset\big_gan\big\biggan-spectrum\727\img006982.jpg,dataset\big_gan\big\biggan-spectrum\136\img000425.jpg,dataset\coco\coco\coco2017\train_spectrum\img157371.jpg
dataset\coco\coco\coco2017\train_spectrum\img041564.jpg,dataset\coco\coco\coco2017\train_spectrum\img151203.jpg,dataset\big_gan\big\biggan-spectrum\998\img009985.jpg
dataset\coco\coco\coco2017\train_spectrum\img142281.jpg,dataset\coco\coco\coco2017\train_spectrum\img152990.jpg,dataset\big_gan\big\biggan-spectrum\195\img001074.jpg
dataset\coco\coco\coco2017\train_spectrum\img125833.jpg,dataset\coco\coco\coco2017\train_spectrum\img131888.jpg,dataset\big_gan\big\biggan-spectrum\546\img004970.jpg
dataset\big_gan\big\biggan-spectrum\496\img004411.jpg,dataset\big_gan\big\biggan-spectrum\514\img004624.jpg,dataset\coco\coco\coco2017\train_spectrum\img080604.jpg
dataset\big_gan\big\biggan-spectrum\684\img006505.jpg,dataset\big_gan\big\biggan-spectrum\303\img002284.jpg,dataset\coco\coco\coco2017\train_spectrum\img060364.jpg
dataset\big_gan\big\biggan-spectrum\566\img005193.jpg,dataset\big_gan\big\biggan-spectrum\442\img003826.jpg,dataset\coco\coco\coco2017\train_spectrum\img062518.jpg
dataset\coco\coco\coco2017\train_spectrum\img119571.jpg,dataset\coco\coco\coco2017\train_spectrum\img129893.jpg,dataset\big_gan\big\biggan-spectrum\965\img009626.jpg
dataset\big_gan\big\biggan-spectrum\39\img003231.jpg,dataset\big_gan\big\biggan-spectrum\558\img005100.jpg,dataset\coco\coco\coco2017\train_spectrum\img074756.jpg
dataset\coco\coco\coco2017\train_spectrum\img085009.jpg,dataset\coco\coco\coco2017\train_spectrum\img079202.jpg,dataset\big_gan\big\biggan-spectrum\53\img004790.jpg
dataset\big_gan\big\biggan-spectrum\433\img003723.jpg,dataset\big_gan\big\biggan-spectrum\645\img006073.jpg,dataset\coco\coco\coco2017\train_spectrum\img148983.jpg
dataset\big_gan\big\biggan-spectrum\765\img007409.jpg,dataset\big_gan\big\biggan-spectrum\729\img007002.jpg,dataset\coco\coco\coco2017\train_spectrum\img114835.jpg
dataset\coco\coco\coco2017\train_spectrum\img153818.jpg,dataset\coco\coco\coco2017\train_spectrum\img042642.jpg,dataset\big_gan\big\biggan-spectrum\314\img002409.jpg
dataset\coco\coco\coco2017\train_spectrum\img090994.jpg,dataset\coco\coco\coco2017\train_spectrum\img158276.jpg,dataset\big_gan\big\biggan-spectrum\646\img006080.jpg
dataset\coco\coco\coco2017\train_spectrum\img144452.jpg,dataset\coco\coco\coco2017\train_spectrum\img129066.jpg,dataset\big_gan\big\biggan-spectrum\425\img003633.jpg
dataset\big_gan\big\biggan-spectrum\486\img004302.jpg,dataset\big_gan\big\biggan-spectrum\328\img002552.jpg,dataset\coco\coco\coco2017\train_spectrum\img141598.jpg
dataset\coco\coco\coco2017\train_spectrum\img116306.jpg,dataset\coco\coco\coco2017\train_spectrum\img073809.jpg,dataset\big_gan\big\biggan-spectrum\884\img008721.jpg
dataset\big_gan\big\biggan-spectrum\395\img003294.jpg,dataset\big_gan\big\biggan-spectrum\198\img001101.jpg,dataset\coco\coco\coco2017\train_spectrum\img056998.jpg
dataset\big_gan\big\biggan-spectrum\379\img003113.jpg,dataset\big_gan\big\biggan-spectrum\164\img000737.jpg,dataset\coco\coco\coco2017\train_spectrum\img127617.jpg
dataset\big_gan\big\biggan-spectrum\459\img004000.jpg,dataset\big_gan\big\biggan-spectrum\775\img007519.jpg,dataset\coco\coco\coco2017\train_spectrum\img078118.jpg
dataset\big_gan\big\biggan-spectrum\985\img009841.jpg,dataset\big_gan\big\biggan-spectrum\930\img009242.jpg,dataset\coco\coco\coco2017\train_spectrum\img064571.jpg
dataset\big_gan\big\biggan-spectrum\732\img007044.jpg,dataset\big_gan\big\biggan-spectrum\654\img006170.jpg,dataset\coco\coco\coco2017\train_spectrum\img045332.jpg
dataset\big_gan\big\biggan-spectrum\952\img009489.jpg,dataset\big_gan\big\biggan-spectrum\967\img009643.jpg,dataset\coco\coco\coco2017\train_spectrum\img133097.jpg
dataset\big_gan\big\biggan-spectrum\966\img009633.jpg,dataset\big_gan\big\biggan-spectrum\327\img002548.jpg,dataset\coco\coco\coco2017\train_spectrum\img107049.jpg
dataset\big_gan\big\biggan-spectrum\499\img004443.jpg,dataset\big_gan\big\biggan-spectrum\658\img006214.jpg,dataset\coco\coco\coco2017\train_spectrum\img121746.jpg
dataset\big_gan\big\biggan-spectrum\335\img002631.jpg,dataset\big_gan\big\biggan-spectrum\865\img008516.jpg,dataset\coco\coco\coco2017\train_spectrum\img042253.jpg
dataset\big_gan\big\biggan-spectrum\908\img008994.jpg,dataset\big_gan\big\biggan-spectrum\425\img003635.jpg,dataset\coco\coco\coco2017\train_spectrum\img075559.jpg
dataset\coco\coco\coco2017\train_spectrum\img134058.jpg,dataset\coco\coco\coco2017\train_spectrum\img132081.jpg,dataset\big_gan\big\biggan-spectrum\34\img002687.jpg
dataset\coco\coco\coco2017\train_spectrum\img146445.jpg,dataset\coco\coco\coco2017\train_spectrum\img145887.jpg,dataset\big_gan\big\biggan-spectrum\959\img009556.jpg
dataset\coco\coco\coco2017\train_spectrum\img086061.jpg,dataset\coco\coco\coco2017\train_spectrum\img060497.jpg,dataset\big_gan\big\biggan-spectrum\535\img004859.jpg
dataset\coco\coco\coco2017\train_spectrum\img145010.jpg,dataset\coco\coco\coco2017\train_spectrum\img071887.jpg,dataset\big_gan\big\biggan-spectrum\583\img005382.jpg
dataset\coco\coco\coco2017\train_spectrum\img139990.jpg,dataset\coco\coco\coco2017\train_spectrum\img124345.jpg,dataset\big_gan\big\biggan-spectrum\63\img005904.jpg
dataset\big_gan\big\biggan-spectrum\265\img001850.jpg,dataset\big_gan\big\biggan-spectrum\361\img002920.jpg,dataset\coco\coco\coco2017\train_spectrum\img116774.jpg
dataset\coco\coco\coco2017\train_spectrum\img070704.jpg,dataset\coco\coco\coco2017\train_spectrum\img077653.jpg,dataset\big_gan\big\biggan-spectrum\176\img000863.jpg
dataset\big_gan\big\biggan-spectrum\832\img008159.jpg,dataset\big_gan\big\biggan-spectrum\731\img007036.jpg,dataset\coco\coco\coco2017\train_spectrum\img140880.jpg
dataset\coco\coco\coco2017\train_spectrum\img118622.jpg,dataset\coco\coco\coco2017\train_spectrum\img150601.jpg,dataset\big_gan\big\biggan-spectrum\578\img005327.jpg
dataset\coco\coco\coco2017\train_spectrum\img077626.jpg,dataset\coco\coco\coco2017\train_spectrum\img065464.jpg,dataset\big_gan\big\biggan-spectrum\333\img002611.jpg
dataset\big_gan\big\biggan-spectrum\681\img006470.jpg,dataset\big_gan\big\biggan-spectrum\155\img000639.jpg,dataset\coco\coco\coco2017\train_spectrum\img083713.jpg
dataset\big_gan\big\biggan-spectrum\350\img002809.jpg,dataset\big_gan\big\biggan-spectrum\119\img000239.jpg,dataset\coco\coco\coco2017\train_spectrum\img061516.jpg
dataset\big_gan\big\biggan-spectrum\976\img009742.jpg,dataset\big_gan\big\biggan-spectrum\717\img006878.jpg,dataset\coco\coco\coco2017\train_spectrum\img116639.jpg
dataset\coco\coco\coco2017\train_spectrum\img085186.jpg,dataset\coco\coco\coco2017\train_spectrum\img107967.jpg,dataset\big_gan\big\biggan-spectrum\316\img002423.jpg
dataset\big_gan\big\biggan-spectrum\723\img006948.jpg,dataset\big_gan\big\biggan-spectrum\888\img008763.jpg,dataset\coco\coco\coco2017\train_spectrum\img143884.jpg
dataset\coco\coco\coco2017\train_spectrum\img051807.jpg,dataset\coco\coco\coco2017\train_spectrum\img042772.jpg,dataset\big_gan\big\biggan-spectrum\917\img009099.jpg
dataset\coco\coco\coco2017\train_spectrum\img137150.jpg,dataset\coco\coco\coco2017\train_spectrum\img065934.jpg,dataset\big_gan\big\biggan-spectrum\272\img001931.jpg
dataset\big_gan\big\biggan-spectrum\610\img005690.jpg,dataset\big_gan\big\biggan-spectrum\599\img005552.jpg,dataset\coco\coco\coco2017\train_spectrum\img146432.jpg
dataset\big_gan\big\biggan-spectrum\432\img003714.jpg,dataset\big_gan\big\biggan-spectrum\744\img007172.jpg,dataset\coco\coco\coco2017\train_spectrum\img069310.jpg
dataset\coco\coco\coco2017\train_spectrum\img133203.jpg,dataset\coco\coco\coco2017\train_spectrum\img094075.jpg,dataset\big_gan\big\biggan-spectrum\147\img000540.jpg
dataset\coco\coco\coco2017\train_spectrum\img120601.jpg,dataset\coco\coco\coco2017\train_spectrum\img099014.jpg,dataset\big_gan\big\biggan-spectrum\408\img003448.jpg
dataset\big_gan\big\biggan-spectrum\229\img001454.jpg,dataset\big_gan\big\biggan-spectrum\901\img008923.jpg,dataset\coco\coco\coco2017\train_spectrum\img104254.jpg
dataset\coco\coco\coco2017\train_spectrum\img125752.jpg,dataset\coco\coco\coco2017\train_spectrum\img098094.jpg,dataset\big_gan\big\biggan-spectrum\716\img006860.jpg
dataset\big_gan\big\biggan-spectrum\453\img003946.jpg,dataset\big_gan\big\biggan-spectrum\610\img005697.jpg,dataset\coco\coco\coco2017\train_spectrum\img118293.jpg
dataset\coco\coco\coco2017\train_spectrum\img121854.jpg,dataset\coco\coco\coco2017\train_spectrum\img116588.jpg,dataset\big_gan\big\biggan-spectrum\824\img008061.jpg
dataset\big_gan\big\biggan-spectrum\434\img003737.jpg,dataset\big_gan\big\biggan-spectrum\11\img000134.jpg,dataset\coco\coco\coco2017\train_spectrum\img117909.jpg
dataset\coco\coco\coco2017\train_spectrum\img100826.jpg,dataset\coco\coco\coco2017\train_spectrum\img042440.jpg,dataset\big_gan\big\biggan-spectrum\769\img007444.jpg
dataset\big_gan\big\biggan-spectrum\615\img005745.jpg,dataset\big_gan\big\biggan-spectrum\686\img006520.jpg,dataset\coco\coco\coco2017\train_spectrum\img124904.jpg
dataset\coco\coco\coco2017\train_spectrum\img154281.jpg,dataset\coco\coco\coco2017\train_spectrum\img096435.jpg,dataset\big_gan\big\biggan-spectrum\806\img007865.jpg
dataset\big_gan\big\biggan-spectrum\140\img000470.jpg,dataset\big_gan\big\biggan-spectrum\71\img006790.jpg,dataset\coco\coco\coco2017\train_spectrum\img066615.jpg
dataset\coco\coco\coco2017\train_spectrum\img087051.jpg,dataset\coco\coco\coco2017\train_spectrum\img155433.jpg,dataset\big_gan\big\biggan-spectrum\681\img006478.jpg
dataset\big_gan\big\biggan-spectrum\620\img005808.jpg,dataset\big_gan\big\biggan-spectrum\81\img007902.jpg,dataset\coco\coco\coco2017\train_spectrum\img142892.jpg
dataset\big_gan\big\biggan-spectrum\128\img000333.jpg,dataset\big_gan\big\biggan-spectrum\367\img002986.jpg,dataset\coco\coco\coco2017\train_spectrum\img118122.jpg
dataset\big_gan\big\biggan-spectrum\92\img009127.jpg,dataset\big_gan\big\biggan-spectrum\931\img009253.jpg,dataset\coco\coco\coco2017\train_spectrum\img078798.jpg
dataset\big_gan\big\biggan-spectrum\90\img008908.jpg,dataset\big_gan\big\biggan-spectrum\270\img001910.jpg,dataset\coco\coco\coco2017\train_spectrum\img116403.jpg
