Anchor,Positive,Negative
dataset\taming_transformer\tt-coco_spectrum\img004924.jpg,dataset\taming_transformer\tt-coco_spectrum\img002245.jpg,dataset\big_gan\big\biggan-spectrum\655\img006181.jpg
dataset\taming_transformer\tt-coco_spectrum\img000811.jpg,dataset\taming_transformer\tt-coco_spectrum\img002015.jpg,dataset\big_gan\big\biggan-spectrum\536\img004864.jpg
dataset\taming_transformer\tt-coco_spectrum\img001703.jpg,dataset\taming_transformer\tt-coco_spectrum\img003028.jpg,dataset\big_gan\big\biggan-spectrum\917\img009094.jpg
dataset\taming_transformer\tt-coco_spectrum\img002989.jpg,dataset\taming_transformer\tt-coco_spectrum\img004133.jpg,dataset\big_gan\big\biggan-spectrum\681\img006475.jpg
dataset\taming_transformer\tt-coco_spectrum\img002783.jpg,dataset\taming_transformer\tt-coco_spectrum\img004603.jpg,dataset\big_gan\big\biggan-spectrum\184\img000957.jpg
dataset\taming_transformer\tt-coco_spectrum\img003900.jpg,dataset\taming_transformer\tt-coco_spectrum\img003607.jpg,dataset\big_gan\big\biggan-spectrum\605\img005636.jpg
dataset\taming_transformer\tt-coco_spectrum\img000788.jpg,dataset\taming_transformer\tt-coco_spectrum\img004797.jpg,dataset\big_gan\big\biggan-spectrum\387\img003200.jpg
dataset\big_gan\big\biggan-spectrum\259\img001782.jpg,dataset\big_gan\big\biggan-spectrum\723\img006945.jpg,dataset\taming_transformer\tt-coco_spectrum\img000439.jpg
dataset\taming_transformer\tt-coco_spectrum\img001305.jpg,dataset\taming_transformer\tt-coco_spectrum\img003772.jpg,dataset\big_gan\big\biggan-spectrum\242\img001604.jpg
dataset\taming_transformer\tt-coco_spectrum\img002579.jpg,dataset\taming_transformer\tt-coco_spectrum\img003995.jpg,dataset\big_gan\big\biggan-spectrum\37\img003016.jpg
dataset\taming_transformer\tt-coco_spectrum\img001701.jpg,dataset\taming_transformer\tt-coco_spectrum\img004394.jpg,dataset\big_gan\big\biggan-spectrum\342\img002710.jpg
dataset\big_gan\big\biggan-spectrum\436\img003752.jpg,dataset\big_gan\big\biggan-spectrum\951\img009472.jpg,dataset\taming_transformer\tt-coco_spectrum\img000351.jpg
dataset\taming_transformer\tt-coco_spectrum\img002804.jpg,dataset\taming_transformer\tt-coco_spectrum\img000292.jpg,dataset\big_gan\big\biggan-spectrum\6\img005567.jpg
dataset\taming_transformer\tt-coco_spectrum\img000616.jpg,dataset\taming_transformer\tt-coco_spectrum\img001075.jpg,dataset\big_gan\big\biggan-spectrum\460\img004021.jpg
dataset\taming_transformer\tt-coco_spectrum\img000818.jpg,dataset\taming_transformer\tt-coco_spectrum\img002499.jpg,dataset\big_gan\big\biggan-spectrum\761\img007367.jpg
dataset\taming_transformer\tt-coco_spectrum\img002870.jpg,dataset\taming_transformer\tt-coco_spectrum\img001873.jpg,dataset\big_gan\big\biggan-spectrum\757\img007316.jpg
dataset\big_gan\big\biggan-spectrum\944\img009391.jpg,dataset\big_gan\big\biggan-spectrum\133\img000394.jpg,dataset\taming_transformer\tt-coco_spectrum\img003553.jpg
dataset\big_gan\big\biggan-spectrum\299\img002225.jpg,dataset\big_gan\big\biggan-spectrum\927\img009205.jpg,dataset\taming_transformer\tt-coco_spectrum\img004835.jpg
dataset\big_gan\big\biggan-spectrum\918\img009106.jpg,dataset\big_gan\big\biggan-spectrum\669\img006333.jpg,dataset\taming_transformer\tt-coco_spectrum\img004682.jpg
dataset\big_gan\big\biggan-spectrum\105\img000081.jpg,dataset\big_gan\big\biggan-spectrum\42\img003579.jpg,dataset\taming_transformer\tt-coco_spectrum\img000028.jpg
dataset\taming_transformer\tt-coco_spectrum\img000023.jpg,dataset\taming_transformer\tt-coco_spectrum\img001180.jpg,dataset\big_gan\big\biggan-spectrum\588\img005437.jpg
dataset\taming_transformer\tt-coco_spectrum\img001523.jpg,dataset\taming_transformer\tt-coco_spectrum\img000243.jpg,dataset\big_gan\big\biggan-spectrum\461\img004035.jpg
dataset\taming_transformer\tt-coco_spectrum\img004003.jpg,dataset\taming_transformer\tt-coco_spectrum\img002617.jpg,dataset\big_gan\big\biggan-spectrum\689\img006555.jpg
dataset\big_gan\big\biggan-spectrum\702\img006718.jpg,dataset\big_gan\big\biggan-spectrum\996\img009966.jpg,dataset\taming_transformer\tt-coco_spectrum\img004040.jpg
dataset\taming_transformer\tt-coco_spectrum\img002048.jpg,dataset\taming_transformer\tt-coco_spectrum\img000229.jpg,dataset\big_gan\big\biggan-spectrum\263\img001830.jpg
dataset\big_gan\big\biggan-spectrum\449\img003895.jpg,dataset\big_gan\big\biggan-spectrum\872\img008591.jpg,dataset\taming_transformer\tt-coco_spectrum\img003715.jpg
dataset\big_gan\big\biggan-spectrum\855\img008405.jpg,dataset\big_gan\big\biggan-spectrum\713\img006832.jpg,dataset\taming_transformer\tt-coco_spectrum\img004154.jpg
dataset\taming_transformer\tt-coco_spectrum\img004889.jpg,dataset\taming_transformer\tt-coco_spectrum\img004408.jpg,dataset\big_gan\big\biggan-spectrum\133\img000396.jpg
dataset\taming_transformer\tt-coco_spectrum\img000501.jpg,dataset\taming_transformer\tt-coco_spectrum\img002076.jpg,dataset\big_gan\big\biggan-spectrum\503\img004504.jpg
dataset\taming_transformer\tt-coco_spectrum\img002843.jpg,dataset\taming_transformer\tt-coco_spectrum\img001423.jpg,dataset\big_gan\big\biggan-spectrum\592\img005487.jpg
dataset\taming_transformer\tt-coco_spectrum\img001870.jpg,dataset\taming_transformer\tt-coco_spectrum\img002945.jpg,dataset\big_gan\big\biggan-spectrum\274\img001959.jpg
dataset\taming_transformer\tt-coco_spectrum\img002912.jpg,dataset\taming_transformer\tt-coco_spectrum\img000263.jpg,dataset\big_gan\big\biggan-spectrum\565\img005180.jpg
dataset\big_gan\big\biggan-spectrum\936\img009304.jpg,dataset\big_gan\big\biggan-spectrum\289\img002119.jpg,dataset\taming_transformer\tt-coco_spectrum\img003636.jpg
dataset\big_gan\big\biggan-spectrum\62\img005799.jpg,dataset\big_gan\big\biggan-spectrum\306\img002319.jpg,dataset\taming_transformer\tt-coco_spectrum\img001371.jpg
dataset\big_gan\big\biggan-spectrum\94\img009344.jpg,dataset\big_gan\big\biggan-spectrum\281\img002032.jpg,dataset\taming_transformer\tt-coco_spectrum\img003855.jpg
dataset\big_gan\big\biggan-spectrum\214\img001290.jpg,dataset\big_gan\big\biggan-spectrum\41\img003465.jpg,dataset\taming_transformer\tt-coco_spectrum\img001575.jpg
dataset\big_gan\big\biggan-spectrum\432\img003711.jpg,dataset\big_gan\big\biggan-spectrum\195\img001078.jpg,dataset\taming_transformer\tt-coco_spectrum\img000480.jpg
dataset\big_gan\big\biggan-spectrum\629\img005897.jpg,dataset\big_gan\big\biggan-spectrum\768\img007439.jpg,dataset\taming_transformer\tt-coco_spectrum\img003231.jpg
dataset\taming_transformer\tt-coco_spectrum\img002724.jpg,dataset\taming_transformer\tt-coco_spectrum\img001298.jpg,dataset\big_gan\big\biggan-spectrum\187\img000980.jpg
dataset\big_gan\big\biggan-spectrum\711\img006819.jpg,dataset\big_gan\big\biggan-spectrum\633\img005949.jpg,dataset\taming_transformer\tt-coco_spectrum\img000572.jpg
dataset\big_gan\big\biggan-spectrum\735\img007072.jpg,dataset\big_gan\big\biggan-spectrum\340\img002693.jpg,dataset\taming_transformer\tt-coco_spectrum\img000052.jpg
dataset\taming_transformer\tt-coco_spectrum\img000877.jpg,dataset\taming_transformer\tt-coco_spectrum\img000933.jpg,dataset\big_gan\big\biggan-spectrum\368\img002996.jpg
dataset\taming_transformer\tt-coco_spectrum\img000685.jpg,dataset\taming_transformer\tt-coco_spectrum\img004100.jpg,dataset\big_gan\big\biggan-spectrum\701\img006708.jpg
dataset\taming_transformer\tt-coco_spectrum\img002222.jpg,dataset\taming_transformer\tt-coco_spectrum\img004886.jpg,dataset\big_gan\big\biggan-spectrum\638\img005991.jpg
dataset\big_gan\big\biggan-spectrum\63\img005904.jpg,dataset\big_gan\big\biggan-spectrum\823\img008050.jpg,dataset\taming_transformer\tt-coco_spectrum\img000169.jpg
dataset\big_gan\big\biggan-spectrum\315\img002412.jpg,dataset\big_gan\big\biggan-spectrum\502\img004496.jpg,dataset\taming_transformer\tt-coco_spectrum\img003362.jpg
dataset\taming_transformer\tt-coco_spectrum\img002978.jpg,dataset\taming_transformer\tt-coco_spectrum\img000381.jpg,dataset\big_gan\big\biggan-spectrum\598\img005546.jpg
dataset\big_gan\big\biggan-spectrum\223\img001397.jpg,dataset\big_gan\big\biggan-spectrum\736\img007087.jpg,dataset\taming_transformer\tt-coco_spectrum\img001368.jpg
dataset\taming_transformer\tt-coco_spectrum\img003625.jpg,dataset\taming_transformer\tt-coco_spectrum\img001007.jpg,dataset\big_gan\big\biggan-spectrum\76\img007345.jpg
dataset\big_gan\big\biggan-spectrum\632\img005936.jpg,dataset\big_gan\big\biggan-spectrum\31\img002354.jpg,dataset\taming_transformer\tt-coco_spectrum\img000014.jpg
dataset\taming_transformer\tt-coco_spectrum\img000220.jpg,dataset\taming_transformer\tt-coco_spectrum\img003202.jpg,dataset\big_gan\big\biggan-spectrum\252\img001716.jpg
dataset\big_gan\big\biggan-spectrum\812\img007937.jpg,dataset\big_gan\big\biggan-spectrum\405\img003419.jpg,dataset\taming_transformer\tt-coco_spectrum\img002631.jpg
dataset\taming_transformer\tt-coco_spectrum\img001766.jpg,dataset\taming_transformer\tt-coco_spectrum\img001364.jpg,dataset\big_gan\big\biggan-spectrum\509\img004567.jpg
dataset\big_gan\big\biggan-spectrum\30\img002247.jpg,dataset\big_gan\big\biggan-spectrum\383\img003160.jpg,dataset\taming_transformer\tt-coco_spectrum\img004262.jpg
dataset\taming_transformer\tt-coco_spectrum\img001366.jpg,dataset\taming_transformer\tt-coco_spectrum\img002148.jpg,dataset\big_gan\big\biggan-spectrum\569\img005224.jpg
dataset\taming_transformer\tt-coco_spectrum\img000811.jpg,dataset\taming_transformer\tt-coco_spectrum\img004003.jpg,dataset\big_gan\big\biggan-spectrum\997\img009972.jpg
dataset\big_gan\big\biggan-spectrum\802\img007826.jpg,dataset\big_gan\big\biggan-spectrum\693\img006607.jpg,dataset\taming_transformer\tt-coco_spectrum\img003613.jpg
dataset\big_gan\big\biggan-spectrum\203\img001171.jpg,dataset\big_gan\big\biggan-spectrum\451\img003922.jpg,dataset\taming_transformer\tt-coco_spectrum\img004343.jpg
dataset\taming_transformer\tt-coco_spectrum\img001814.jpg,dataset\taming_transformer\tt-coco_spectrum\img000280.jpg,dataset\big_gan\big\biggan-spectrum\561\img005148.jpg
dataset\taming_transformer\tt-coco_spectrum\img004168.jpg,dataset\taming_transformer\tt-coco_spectrum\img000635.jpg,dataset\big_gan\big\biggan-spectrum\192\img001040.jpg
dataset\big_gan\big\biggan-spectrum\690\img006576.jpg,dataset\big_gan\big\biggan-spectrum\797\img007757.jpg,dataset\taming_transformer\tt-coco_spectrum\img001635.jpg
dataset\big_gan\big\biggan-spectrum\290\img002130.jpg,dataset\big_gan\big\biggan-spectrum\109\img000129.jpg,dataset\taming_transformer\tt-coco_spectrum\img001994.jpg
dataset\taming_transformer\tt-coco_spectrum\img001909.jpg,dataset\taming_transformer\tt-coco_spectrum\img000423.jpg,dataset\big_gan\big\biggan-spectrum\333\img002617.jpg
dataset\taming_transformer\tt-coco_spectrum\img002410.jpg,dataset\taming_transformer\tt-coco_spectrum\img003839.jpg,dataset\big_gan\big\biggan-spectrum\832\img008154.jpg
dataset\big_gan\big\biggan-spectrum\253\img001720.jpg,dataset\big_gan\big\biggan-spectrum\623\img005836.jpg,dataset\taming_transformer\tt-coco_spectrum\img000598.jpg
dataset\big_gan\big\biggan-spectrum\379\img003119.jpg,dataset\big_gan\big\biggan-spectrum\944\img009399.jpg,dataset\taming_transformer\tt-coco_spectrum\img004094.jpg
dataset\taming_transformer\tt-coco_spectrum\img003392.jpg,dataset\taming_transformer\tt-coco_spectrum\img004142.jpg,dataset\big_gan\big\biggan-spectrum\721\img006929.jpg
dataset\taming_transformer\tt-coco_spectrum\img004137.jpg,dataset\taming_transformer\tt-coco_spectrum\img004554.jpg,dataset\big_gan\big\biggan-spectrum\158\img000665.jpg
dataset\big_gan\big\biggan-spectrum\661\img006253.jpg,dataset\big_gan\big\biggan-spectrum\406\img003425.jpg,dataset\taming_transformer\tt-coco_spectrum\img004585.jpg
dataset\taming_transformer\tt-coco_spectrum\img002961.jpg,dataset\taming_transformer\tt-coco_spectrum\img002329.jpg,dataset\big_gan\big\biggan-spectrum\396\img003306.jpg
dataset\taming_transformer\tt-coco_spectrum\img001045.jpg,dataset\taming_transformer\tt-coco_spectrum\img003238.jpg,dataset\big_gan\big\biggan-spectrum\498\img004434.jpg
dataset\big_gan\big\biggan-spectrum\358\img002887.jpg,dataset\big_gan\big\biggan-spectrum\683\img006490.jpg,dataset\taming_transformer\tt-coco_spectrum\img004644.jpg
dataset\taming_transformer\tt-coco_spectrum\img004062.jpg,dataset\taming_transformer\tt-coco_spectrum\img002702.jpg,dataset\big_gan\big\biggan-spectrum\331\img002595.jpg
dataset\big_gan\big\biggan-spectrum\921\img009145.jpg,dataset\big_gan\big\biggan-spectrum\284\img002060.jpg,dataset\taming_transformer\tt-coco_spectrum\img000676.jpg
dataset\big_gan\big\biggan-spectrum\767\img007424.jpg,dataset\big_gan\big\biggan-spectrum\482\img004260.jpg,dataset\taming_transformer\tt-coco_spectrum\img000698.jpg
dataset\taming_transformer\tt-coco_spectrum\img003021.jpg,dataset\taming_transformer\tt-coco_spectrum\img004721.jpg,dataset\big_gan\big\biggan-spectrum\940\img009357.jpg
dataset\taming_transformer\tt-coco_spectrum\img002100.jpg,dataset\taming_transformer\tt-coco_spectrum\img002860.jpg,dataset\big_gan\big\biggan-spectrum\405\img003414.jpg
dataset\taming_transformer\tt-coco_spectrum\img001138.jpg,dataset\taming_transformer\tt-coco_spectrum\img001933.jpg,dataset\big_gan\big\biggan-spectrum\836\img008197.jpg
dataset\big_gan\big\biggan-spectrum\683\img006491.jpg,dataset\big_gan\big\biggan-spectrum\283\img002058.jpg,dataset\taming_transformer\tt-coco_spectrum\img002970.jpg
dataset\big_gan\big\biggan-spectrum\213\img001289.jpg,dataset\big_gan\big\biggan-spectrum\902\img008939.jpg,dataset\taming_transformer\tt-coco_spectrum\img003422.jpg
dataset\big_gan\big\biggan-spectrum\134\img000407.jpg,dataset\big_gan\big\biggan-spectrum\741\img007147.jpg,dataset\taming_transformer\tt-coco_spectrum\img002842.jpg
dataset\taming_transformer\tt-coco_spectrum\img004021.jpg,dataset\taming_transformer\tt-coco_spectrum\img004431.jpg,dataset\big_gan\big\biggan-spectrum\281\img002035.jpg
dataset\taming_transformer\tt-coco_spectrum\img001145.jpg,dataset\taming_transformer\tt-coco_spectrum\img002336.jpg,dataset\big_gan\big\biggan-spectrum\868\img008545.jpg
dataset\taming_transformer\tt-coco_spectrum\img002725.jpg,dataset\taming_transformer\tt-coco_spectrum\img003113.jpg,dataset\big_gan\big\biggan-spectrum\505\img004528.jpg
dataset\taming_transformer\tt-coco_spectrum\img003139.jpg,dataset\taming_transformer\tt-coco_spectrum\img002371.jpg,dataset\big_gan\big\biggan-spectrum\703\img006721.jpg
dataset\big_gan\big\biggan-spectrum\165\img000747.jpg,dataset\big_gan\big\biggan-spectrum\461\img004030.jpg,dataset\taming_transformer\tt-coco_spectrum\img004462.jpg
dataset\taming_transformer\tt-coco_spectrum\img002944.jpg,dataset\taming_transformer\tt-coco_spectrum\img004977.jpg,dataset\big_gan\big\biggan-spectrum\371\img003038.jpg
dataset\taming_transformer\tt-coco_spectrum\img000044.jpg,dataset\taming_transformer\tt-coco_spectrum\img004229.jpg,dataset\big_gan\big\biggan-spectrum\826\img008086.jpg
dataset\taming_transformer\tt-coco_spectrum\img002106.jpg,dataset\taming_transformer\tt-coco_spectrum\img001360.jpg,dataset\big_gan\big\biggan-spectrum\896\img008851.jpg
dataset\taming_transformer\tt-coco_spectrum\img000566.jpg,dataset\taming_transformer\tt-coco_spectrum\img003325.jpg,dataset\big_gan\big\biggan-spectrum\941\img009368.jpg
dataset\taming_transformer\tt-coco_spectrum\img003138.jpg,dataset\taming_transformer\tt-coco_spectrum\img004895.jpg,dataset\big_gan\big\biggan-spectrum\248\img001667.jpg
dataset\big_gan\big\biggan-spectrum\958\img009540.jpg,dataset\big_gan\big\biggan-spectrum\714\img006844.jpg,dataset\taming_transformer\tt-coco_spectrum\img000710.jpg
dataset\big_gan\big\biggan-spectrum\140\img000474.jpg,dataset\big_gan\big\biggan-spectrum\499\img004441.jpg,dataset\taming_transformer\tt-coco_spectrum\img002117.jpg
dataset\big_gan\big\biggan-spectrum\260\img001804.jpg,dataset\big_gan\big\biggan-spectrum\102\img000055.jpg,dataset\taming_transformer\tt-coco_spectrum\img003643.jpg
dataset\big_gan\big\biggan-spectrum\313\img002398.jpg,dataset\big_gan\big\biggan-spectrum\648\img006106.jpg,dataset\taming_transformer\tt-coco_spectrum\img001553.jpg
dataset\big_gan\big\biggan-spectrum\943\img009384.jpg,dataset\big_gan\big\biggan-spectrum\328\img002558.jpg,dataset\taming_transformer\tt-coco_spectrum\img002749.jpg
dataset\taming_transformer\tt-coco_spectrum\img003911.jpg,dataset\taming_transformer\tt-coco_spectrum\img000615.jpg,dataset\big_gan\big\biggan-spectrum\667\img006317.jpg
dataset\taming_transformer\tt-coco_spectrum\img002311.jpg,dataset\taming_transformer\tt-coco_spectrum\img004552.jpg,dataset\big_gan\big\biggan-spectrum\349\img002782.jpg
dataset\big_gan\big\biggan-spectrum\143\img000500.jpg,dataset\big_gan\big\biggan-spectrum\847\img008310.jpg,dataset\taming_transformer\tt-coco_spectrum\img001123.jpg
dataset\big_gan\big\biggan-spectrum\659\img006227.jpg,dataset\big_gan\big\biggan-spectrum\567\img005208.jpg,dataset\taming_transformer\tt-coco_spectrum\img001412.jpg
dataset\taming_transformer\tt-coco_spectrum\img004881.jpg,dataset\taming_transformer\tt-coco_spectrum\img001415.jpg,dataset\big_gan\big\biggan-spectrum\613\img005721.jpg
